""	"HFe_d5_rep1_RAW"	"HFe_d5_rep2_RAW"	"HFe_d5_rep3_RAW"	"LFe_d5_rep1_RAW"	"LFe_d5_rep2_RAW"	"MFe_d5_rep1_RAW"	"MFe_d5_rep2_RAW"	"HFe_d5_rep1_CPM"	"HFe_d5_rep2_CPM"	"HFe_d5_rep3_CPM"	"LFe_d5_rep1_CPM"	"LFe_d5_rep2_CPM"	"MFe_d5_rep1_CPM"	"MFe_d5_rep2_CPM"	"HFe_d5_rep1_logCPM"	"HFe_d5_rep2_logCPM"	"HFe_d5_rep3_logCPM"	"LFe_d5_rep1_logCPM"	"LFe_d5_rep2_logCPM"	"MFe_d5_rep1_logCPM"	"MFe_d5_rep2_logCPM"	"locus_tag"	"geneID"	"feature"	"start"	"end"	"strand"	"seqname"	"product"	"note"	"dbxref"
"Tery_0852"	3	1	5	1	2	4	6	"     0.82"	"     0.15"	"     0.92"	"     0.33"	"     0.36"	"     0.72"	"     1.69"	" 0.87"	" 0.21"	" 0.94"	" 0.41"	" 0.45"	" 0.78"	" 1.43"	"Tery_0852"	"gene858"	"CDS"	1346434	1346811	"+"	"CP000393.1"	"hypothetical protein"	NA	"NCBI_GP:ABG50261.1"
"Tery_0854"	1	16	4	0	4	2	4	"     0.27"	"     2.46"	"     0.73"	"     0.00"	"     0.73"	"     0.36"	"     1.13"	" 0.35"	" 1.79"	" 0.79"	" 0.00"	" 0.79"	" 0.44"	" 1.09"	"Tery_0854"	"gene860"	"CDS"	1349769	1350455	"+"	"CP000393.1"	"hypothetical protein"	"KEGG: mba:Mbar_A2511 transposase"	"NCBI_GP:ABG50262.1"
"Tery_0855"	39	79	59	35	70	42	70	"    10.70"	"    12.15"	"    10.81"	"    11.53"	"    12.71"	"     7.52"	"    19.73"	" 3.55"	" 3.72"	" 3.56"	" 3.65"	" 3.78"	" 3.09"	" 4.37"	"Tery_0855"	"gene861"	"CDS"	1354217	1354837	"+"	"CP000393.1"	"hypothetical protein"	NA	"NCBI_GP:ABG50263.1"
"Tery_0856"	15	25	31	9	17	20	12	"     4.11"	"     3.85"	"     5.68"	"     2.97"	"     3.09"	"     3.58"	"     3.38"	" 2.35"	" 2.28"	" 2.74"	" 1.99"	" 2.03"	" 2.20"	" 2.13"	"Tery_0856"	"gene862"	"CDS"	1355187	1355828	"+"	"CP000393.1"	"TPR repeat"	"PFAM: TPR repeat Tetratricopeptide TPR_2~SMART: Tetratricopeptide region~KEGG: aae:aq_1896 hypothetical protein"	"InterPro:IPR001440,InterPro:IPR013026,InterPro:IPR013105,NCBI_GP:ABG50264.1"
"Tery_0857"	21	45	32	22	20	23	20	"     5.76"	"     6.92"	"     5.86"	"     7.25"	"     3.63"	"     4.12"	"     5.64"	" 2.76"	" 2.99"	" 2.78"	" 3.04"	" 2.21"	" 2.36"	" 2.73"	"Tery_0857"	"gene863"	"CDS"	1355925	1357523	"+"	"CP000393.1"	"conserved hypothetical protein"	"KEGG: syn:sll0499 hypothetical protein"	"NCBI_GP:ABG50265.1"
"Tery_0858"	563	1082	881	502	1043	655	551	"   154.40"	"   166.44"	"   161.43"	"   165.39"	"   189.44"	"   117.34"	"   155.32"	" 7.28"	" 7.39"	" 7.34"	" 7.38"	" 7.57"	" 6.89"	" 7.29"	"Tery_0858"	"gene864"	"CDS"	1357898	1359337	"-"	"CP000393.1"	"serine/threonine protein kinase with TPR repeats"	"PFAM: protein kinase TPR repeat Tetratricopeptide TPR_2~SMART: Tyrosine protein kinase Serine/threonine protein kinase Tetratricopeptide region~KEGG: ava:Ava_2528 serine/threonine protein kinase"	"InterPro:IPR000719,InterPro:IPR001245,InterPro:IPR001440,InterPro:IPR002290,InterPro:IPR013026,InterPro:IPR013105,NCBI_GP:ABG50266.1"
"Tery_0859"	992	1570	1255	1035	1989	1466	928	"   272.06"	"   241.51"	"   229.96"	"   341.00"	"   361.26"	"   262.62"	"   261.59"	" 8.09"	" 7.92"	" 7.85"	" 8.42"	" 8.50"	" 8.04"	" 8.04"	"Tery_0859"	"gene865"	"CDS"	1359705	1361627	"-"	"CP000393.1"	"sodium/hydrogen exchanger"	"PFAM: TrkA-N sodium/hydrogen exchanger~KEGG: ana:alr0252 Na+/H+ antiporter"	"InterPro:IPR003148,InterPro:IPR006153,NCBI_GP:ABG50267.1"
"Tery_0861"	27	77	56	29	48	65	44	"     7.40"	"    11.84"	"    10.26"	"     9.55"	"     8.72"	"    11.64"	"    12.40"	" 3.07"	" 3.68"	" 3.49"	" 3.40"	" 3.28"	" 3.66"	" 3.74"	"Tery_0861"	"gene867"	"CDS"	1364634	1364843	"-"	"CP000393.1"	"transposase"	"PFAM: transposase~KEGG: syn:slr1585 putative transposase gene of IS630 family insertion sequence ISY508c"	"InterPro:IPR002622,NCBI_GP:ABG50268.1"
"Tery_0863"	379	787	642	382	533	1041	398	"   103.94"	"   121.06"	"   117.63"	"   125.86"	"    96.81"	"   186.49"	"   112.19"	" 6.71"	" 6.93"	" 6.89"	" 6.99"	" 6.61"	" 7.55"	" 6.82"	"Tery_0863"	"gene869"	"CDS"	1365968	1368049	"-"	"CP000393.1"	"protein of unknown function DUF255"	"PFAM: protein of unknown function DUF255~KEGG: ana:all1237 hypothetical protein"	"InterPro:IPR004879,NCBI_GP:ABG50269.1"
"Tery_0864"	3	4	9	6	8	6	7	"     0.82"	"     0.62"	"     1.65"	"     1.98"	"     1.45"	"     1.07"	"     1.97"	" 0.87"	" 0.69"	" 1.41"	" 1.57"	" 1.29"	" 1.05"	" 1.57"	"Tery_0864"	"gene870"	"CDS"	1368592	1368963	"+"	"CP000393.1"	"hypothetical protein"	NA	"NCBI_GP:ABG50270.1"
"Tery_0865"	10	32	40	12	26	34	29	"     2.74"	"     4.92"	"     7.33"	"     3.95"	"     4.72"	"     6.09"	"     8.17"	" 1.90"	" 2.57"	" 3.06"	" 2.31"	" 2.52"	" 2.83"	" 3.20"	"Tery_0865"	"gene871"	"CDS"	1369252	1370169	"-"	"CP000393.1"	"ribokinase"	"TIGRFAM: ribokinase~PFAM: PfkB  Phosphomethylpyrimidine kinase type-1~KEGG: ana:all1784 ribokinase"	"InterPro:IPR002139,InterPro:IPR002173,InterPro:IPR011611,InterPro:IPR011877,InterPro:IPR013749,NCBI_GP:ABG50271.1"
"Tery_0866"	156	219	196	161	224	319	114	"    42.78"	"    33.69"	"    35.91"	"    53.04"	"    40.68"	"    57.15"	"    32.13"	" 5.45"	" 5.12"	" 5.21"	" 5.76"	" 5.38"	" 5.86"	" 5.05"	"Tery_0866"	"gene872"	"CDS"	1371920	1375666	"+"	"CP000393.1"	"hydrogenobyrinic acid a%2Cc-diamide cobaltochelatase"	"TIGRFAM: magnesium chelatase%2C H subunit~PFAM: CobN/magnesium chelatase~KEGG: ava:Ava_1940 magnesium-chelatase%2C subunit H"	"InterPro:IPR003672,InterPro:IPR011771,NCBI_GP:ABG50272.1"
"Tery_0868"	5	10	3	7	5	18	8	"     1.37"	"     1.54"	"     0.55"	"     2.31"	"     0.91"	"     3.22"	"     2.26"	" 1.25"	" 1.34"	" 0.63"	" 1.73"	" 0.93"	" 2.08"	" 1.70"	"Tery_0868"	"gene874"	"CDS"	1376791	1377237	"+"	"CP000393.1"	"hypothetical protein"	NA	"NCBI_GP:ABG50273.1"
"Tery_0869"	105	152	105	93	118	208	70	"    28.80"	"    23.38"	"    19.24"	"    30.64"	"    21.43"	"    37.26"	"    19.73"	" 4.90"	" 4.61"	" 4.34"	" 4.98"	" 4.49"	" 5.26"	" 4.37"	"Tery_0869"	"gene875"	"CDS"	1377289	1379997	"+"	"CP000393.1"	"conserved hypothetical protein"	"KEGG: gvi:glr3251 hypothetical protein"	"NCBI_GP:ABG50274.1"
"Tery_0870"	70	124	90	47	78	81	62	"    19.20"	"    19.07"	"    16.49"	"    15.48"	"    14.17"	"    14.51"	"    17.48"	" 4.34"	" 4.33"	" 4.13"	" 4.04"	" 3.92"	" 3.96"	" 4.21"	"Tery_0870"	"gene876"	"CDS"	1381500	1382981	"+"	"CP000393.1"	"glycosyl transferase%2C family 39"	"PFAM: glycosyl transferase%2C family 39~KEGG: ana:alr3150 hypothetical protein"	"InterPro:IPR003342,NCBI_GP:ABG50275.1"
"Tery_0871"	29	66	42	22	46	43	33	"     7.95"	"    10.15"	"     7.70"	"     7.25"	"     8.35"	"     7.70"	"     9.30"	" 3.16"	" 3.48"	" 3.12"	" 3.04"	" 3.23"	" 3.12"	" 3.36"	"Tery_0871"	"gene877"	"CDS"	1384183	1384845	"-"	"CP000393.1"	"tRNA (guanine-N(7)-)-methyltransferase"	"KEGG: ava:Ava_4784 tRNA (guanine-N(7)-)-methyltransferase~TIGRFAM: tRNA (guanine-N(7)-)-methyltransferase~PFAM: putative methyltransferase"	"InterPro:IPR003358,InterPro:IPR004395,NCBI_GP:ABG50276.1"
"Tery_0872"	10	7	16	9	13	7	3	"     2.74"	"     1.08"	"     2.93"	"     2.97"	"     2.36"	"     1.25"	"     0.85"	" 1.90"	" 1.05"	" 1.98"	" 1.99"	" 1.75"	" 1.17"	" 0.88"	"Tery_0872"	"gene878"	"CDS"	1385099	1385314	"+"	"CP000393.1"	"putative arsenite-transporting ATPase"	"KEGG: syn:slr1794 putative arsenite-transporting ATPase"	"NCBI_GP:ABG50277.1"
"Tery_0875"	491	853	629	439	633	1369	417	"   134.66"	"   131.22"	"   115.25"	"   144.64"	"   114.97"	"   245.24"	"   117.55"	" 7.08"	" 7.05"	" 6.86"	" 7.19"	" 6.86"	" 7.94"	" 6.89"	"Tery_0875"	"gene881"	"CDS"	1387489	1388583	"+"	"CP000393.1"	"Anion-transporting ATPase"	"PFAM: Anion-transporting ATPase~KEGG: ana:all4481 putative arsenite-transporting ATPase"	"InterPro:IPR003348,NCBI_GP:ABG50278.1"
"Tery_0876"	469	898	504	529	768	1187	407	"   128.62"	"   138.14"	"    92.35"	"   174.29"	"   139.49"	"   212.64"	"   114.73"	" 7.02"	" 7.12"	" 6.54"	" 7.45"	" 7.13"	" 7.74"	" 6.85"	"Tery_0876"	"gene882"	"CDS"	1388873	1389853	"+"	"CP000393.1"	"chlorophyll synthase"	"TIGRFAM: bacteriochlorophyll/chlorophyll synthetase chlorophyll synthase%2C ChlG~PFAM: UbiA prenyltransferase~KEGG: ana:all4480 chlorophyll synthase 33 kD subunit"	"InterPro:IPR000537,InterPro:IPR006372,InterPro:IPR011799,NCBI_GP:ABG50279.1"
"Tery_0878"	241	280	266	210	266	390	185	"    66.09"	"    43.07"	"    48.74"	"    69.19"	"    48.31"	"    69.86"	"    52.15"	" 6.07"	" 5.46"	" 5.64"	" 6.13"	" 5.62"	" 6.15"	" 5.73"	"Tery_0878"	"gene884"	"CDS"	1391421	1393301	"+"	"CP000393.1"	"penicillin-binding protein%2C 1A family"	"KEGG: ava:Ava_0950 penicillin-binding protein 1A~TIGRFAM: penicillin-binding protein%2C 1A family~PFAM: glycosyl transferase%2C family 51 penicillin-binding protein%2C transpeptidase"	"InterPro:IPR001264,InterPro:IPR001460,InterPro:IPR011816,NCBI_GP:ABG50280.1"
"Tery_0879"	61	99	70	42	78	100	38	"    16.73"	"    15.23"	"    12.83"	"    13.84"	"    14.17"	"    17.91"	"    10.71"	" 4.15"	" 4.02"	" 3.79"	" 3.89"	" 3.92"	" 4.24"	" 3.55"	"Tery_0879"	"gene885"	"CDS"	1394263	1395375	"+"	"CP000393.1"	"geranylgeranyl reductase"	"TIGRFAM: geranylgeranyl reductase~PFAM: monooxygenase%2C FAD-binding  FAD dependent oxidoreductase~KEGG: ana:alr1209 hypothetical protein"	"InterPro:IPR001100,InterPro:IPR002938,InterPro:IPR003042,InterPro:IPR006076,InterPro:IPR011777,InterPro:IPR013027,NCBI_GP:ABG50281.1"
"Tery_0880"	141	216	164	127	165	201	107	"    38.67"	"    33.23"	"    30.05"	"    41.84"	"    29.97"	"    36.01"	"    30.16"	" 5.31"	" 5.10"	" 4.96"	" 5.42"	" 4.95"	" 5.21"	" 4.96"	"Tery_0880"	"gene886"	"CDS"	1395950	1399156	"-"	"CP000393.1"	"transporter%2C hydrophobe/amphiphile efflux-1 (HAE1) family"	"TIGRFAM: transporter%2C hydrophobe/amphiphile efflux-1 (HAE1) family~PFAM: acriflavin resistance protein~KEGG: ana:all3143 RND multidrug efflux transporter"	"InterPro:IPR001036,InterPro:IPR004764,NCBI_GP:ABG50282.1"
"Tery_0881"	160	327	285	100	194	369	177	"    43.88"	"    50.30"	"    52.22"	"    32.95"	"    35.24"	"    66.10"	"    49.89"	" 5.49"	" 5.68"	" 5.73"	" 5.09"	" 5.18"	" 6.07"	" 5.67"	"Tery_0881"	"gene887"	"CDS"	1399969	1400772	"+"	"CP000393.1"	"nuclease (SNase-like)"	"PFAM: nuclease (SNase-like)~KEGG: ava:Ava_2776 nuclease (SNase-like)"	"InterPro:IPR006021,NCBI_GP:ABG50283.1"
"Tery_0882"	660	1160	972	570	890	1405	698	"   181.01"	"   178.44"	"   178.10"	"   187.80"	"   161.65"	"   251.69"	"   196.76"	" 7.51"	" 7.49"	" 7.48"	" 7.56"	" 7.35"	" 7.98"	" 7.63"	"Tery_0882"	"gene888"	"CDS"	1401369	1402571	"-"	"CP000393.1"	"argininosuccinate synthase"	"PFAM: argininosuccinate synthase  ExsB~KEGG: ava:Ava_2068 argininosuccinate synthase"	"InterPro:IPR001518,InterPro:IPR004479,NCBI_GP:ABG50284.1"
"Tery_0883"	138	233	199	107	213	165	133	"    37.85"	"    35.84"	"    36.46"	"    35.25"	"    38.69"	"    29.56"	"    37.49"	" 5.28"	" 5.20"	" 5.23"	" 5.18"	" 5.31"	" 4.93"	" 5.27"	"Tery_0883"	"gene889"	"CDS"	1403156	1404088	"+"	"CP000393.1"	"glycosyl transferase%2C family 2"	"PFAM: glycosyl transferase%2C family 2~KEGG: syn:sll1664 hypothetical protein"	"InterPro:IPR001173,NCBI_GP:ABG50285.1"
"Tery_0884"	66	86	98	66	119	68	71	"    18.10"	"    13.23"	"    17.96"	"    21.74"	"    21.61"	"    12.18"	"    20.01"	" 4.26"	" 3.83"	" 4.24"	" 4.51"	" 4.50"	" 3.72"	" 4.39"	"Tery_0884"	"gene890"	"CDS"	1404361	1404582	"+"	"CP000393.1"	"hypothetical protein"	NA	"NCBI_GP:ABG50286.1"
"Tery_0886"	376	642	549	307	511	710	375	"   103.12"	"    98.76"	"   100.59"	"   101.15"	"    92.81"	"   127.19"	"   105.71"	" 6.70"	" 6.64"	" 6.67"	" 6.67"	" 6.55"	" 7.00"	" 6.74"	"Tery_0886"	"gene892"	"CDS"	1406490	1407422	"+"	"CP000393.1"	"spermidine synthase"	"PFAM: Spermine synthase~KEGG: cyb:CYB_0058 spermidine synthase"	"InterPro:IPR000051,InterPro:IPR001045,NCBI_GP:ABG50287.1"
"Tery_0887"	241	466	345	311	439	526	256	"    66.09"	"    71.68"	"    63.22"	"   102.46"	"    79.73"	"    94.23"	"    72.16"	" 6.07"	" 6.18"	" 6.00"	" 6.69"	" 6.34"	" 6.57"	" 6.19"	"Tery_0887"	"gene893"	"CDS"	1407784	1407951	"+"	"CP000393.1"	"protein of unknown function UPF0057"	"PFAM: protein of unknown function UPF0057~KEGG: syn:ssr1169 salt-stress induced hydrophobic peptide"	"InterPro:IPR000612,NCBI_GP:ABG50288.1"
"Tery_0888"	136	163	129	112	170	194	115	"    37.30"	"    25.07"	"    23.64"	"    36.90"	"    30.88"	"    34.75"	"    32.42"	" 5.26"	" 4.70"	" 4.62"	" 5.24"	" 4.99"	" 5.16"	" 5.06"	"Tery_0888"	"gene894"	"CDS"	1408255	1408719	"+"	"CP000393.1"	"TM2 domain containing protein+B7201"	"PFAM: TM2 domain containing protein+B7201~KEGG: tdn:Tmden_1837 TM2"	"InterPro:IPR007829,NCBI_GP:ABG50289.1"
"Tery_0889"	459	779	511	458	609	778	364	"   125.88"	"   119.83"	"    93.63"	"   150.90"	"   110.61"	"   139.37"	"   102.61"	" 6.99"	" 6.92"	" 6.56"	" 7.25"	" 6.80"	" 7.13"	" 6.69"	"Tery_0889"	"gene895"	"CDS"	1409261	1410328	"+"	"CP000393.1"	"branched chain amino acid aminotransferase"	"KEGG: sep:SE0318 branched-chain amino acid aminotroansferase-like protein~TIGRFAM: branched-chain amino acid aminotransferase~PFAM: aminotransferase%2C class IV"	"InterPro:IPR001544,InterPro:IPR005786,NCBI_GP:ABG50290.1"
"Tery_0890"	274	604	401	257	601	399	246	"    75.14"	"    92.91"	"    73.48"	"    84.67"	"   109.16"	"    71.48"	"    69.34"	" 6.25"	" 6.55"	" 6.22"	" 6.42"	" 6.78"	" 6.18"	" 6.14"	"Tery_0890"	"gene896"	"CDS"	1410906	1411763	"+"	"CP000393.1"	"protein of unknown function DUF540"	"PFAM: protein of unknown function DUF540~KEGG: syn:slr1980 hypothetical protein"	"InterPro:IPR007496,NCBI_GP:ABG50291.1"
"Tery_0891"	4220	11528	8774	5893	10658	12954	5402	"  1157.34"	"  1773.34"	"  1607.68"	"  1941.55"	"  1935.79"	"  2320.59"	"  1522.75"	"10.18"	"10.79"	"10.65"	"10.92"	"10.92"	"11.18"	"10.57"	"Tery_0891"	"gene897"	"CDS"	1412227	1412706	"+"	"CP000393.1"	"putative nickel-containing superoxide dismutase precursor (NISOD)"	"KEGG: pmn:PMN2A_0861 putative nickel-containing superoxide dismutase precursor (NISOD)"	"NCBI_GP:ABG50292.1"
"Tery_0892"	1247	3507	3685	1421	4472	2871	3463	"   341.99"	"   539.48"	"   675.21"	"   468.17"	"   812.24"	"   514.31"	"   976.17"	" 8.42"	" 9.08"	" 9.40"	" 8.87"	" 9.67"	" 9.01"	" 9.93"	"Tery_0892"	"gene898"	"CDS"	1412737	1413084	"+"	"CP000393.1"	"hypothetical protein"	"KEGG: syd:Syncc9605_0872 possible peptidase S26 family protein"	"NCBI_GP:ABG50293.1"
"Tery_0893"	30	68	56	37	49	110	44	"     8.23"	"    10.46"	"    10.26"	"    12.19"	"     8.90"	"    19.71"	"    12.40"	" 3.21"	" 3.52"	" 3.49"	" 3.72"	" 3.31"	" 4.37"	" 3.74"	"Tery_0893"	"gene899"	"CDS"	1414773	1416365	"+"	"CP000393.1"	"Heat shock protein 70"	"PFAM: Heat shock protein 70~KEGG: ava:Ava_0572 heat shock protein HSP70"	"InterPro:IPR001023,InterPro:IPR013126,NCBI_GP:ABG50294.1"
"Tery_0894"	98	158	142	119	165	175	118	"    26.88"	"    24.30"	"    26.02"	"    39.21"	"    29.97"	"    31.35"	"    33.26"	" 4.80"	" 4.66"	" 4.76"	" 5.33"	" 4.95"	" 5.02"	" 5.10"	"Tery_0894"	"gene900"	"CDS"	1416502	1418502	"+"	"CP000393.1"	"Chromosome segregation ATPase-like protein"	"KEGG: ana:alr7298 unknown protein"	"NCBI_GP:ABG50295.1"
"Tery_0895"	181	348	286	169	221	411	235	"    49.64"	"    53.53"	"    52.40"	"    55.68"	"    40.14"	"    73.63"	"    66.24"	" 5.66"	" 5.77"	" 5.74"	" 5.82"	" 5.36"	" 6.22"	" 6.07"	"Tery_0895"	"gene901"	"CDS"	1419001	1419309	"-"	"CP000393.1"	"hypothetical protein"	NA	"NCBI_GP:ABG50296.1"
"Tery_0896"	13	13	13	9	19	11	8	"     3.57"	"     2.00"	"     2.38"	"     2.97"	"     3.45"	"     1.97"	"     2.26"	" 2.19"	" 1.58"	" 1.76"	" 1.99"	" 2.15"	" 1.57"	" 1.70"	"Tery_0896"	"gene902"	"CDS"	1419416	1419658	"-"	"CP000393.1"	"conserved hypothetical protein"	"KEGG: mta:Moth_0617 hypothetical protein"	"NCBI_GP:ABG50297.1"
"Tery_0897"	3	9	6	5	11	5	4	"     0.82"	"     1.38"	"     1.10"	"     1.65"	"     2.00"	"     0.90"	"     1.13"	" 0.87"	" 1.25"	" 1.07"	" 1.40"	" 1.58"	" 0.92"	" 1.09"	"Tery_0897"	"gene903"	"CDS"	1419747	1419899	"-"	"CP000393.1"	"conserved hypothetical protein"	"KEGG: mta:Moth_0618 hypothetical protein"	"NCBI_GP:ABG50298.1"
"Tery_0898"	4	16	4	5	5	17	7	"     1.10"	"     2.46"	"     0.73"	"     1.65"	"     0.91"	"     3.05"	"     1.97"	" 1.07"	" 1.79"	" 0.79"	" 1.40"	" 0.93"	" 2.02"	" 1.57"	"Tery_0898"	"gene904"	"CDS"	1419957	1420268	"-"	"CP000393.1"	"DNA polymerase%2C beta-like region"	"PFAM: DNA polymerase%2C beta-like region~KEGG: fra:Francci3_1883 DNA polymerase%2C beta-like region"	"InterPro:IPR001201,InterPro:IPR002934,NCBI_GP:ABG50299.1"
"Tery_0899"	11	20	16	5	13	8	14	"     3.02"	"     3.08"	"     2.93"	"     1.65"	"     2.36"	"     1.43"	"     3.95"	" 2.01"	" 2.03"	" 1.98"	" 1.40"	" 1.75"	" 1.28"	" 2.31"	"Tery_0899"	"gene905"	"CDS"	1420322	1420510	"-"	"CP000393.1"	"PilT protein-like"	"KEGG: ava:Ava_3324 PilT protein-like"	"NCBI_GP:ABG50300.1"
"Tery_0900"	16	31	31	22	23	46	14	"     4.39"	"     4.77"	"     5.68"	"     7.25"	"     4.18"	"     8.24"	"     3.95"	" 2.43"	" 2.53"	" 2.74"	" 3.04"	" 2.37"	" 3.21"	" 2.31"	"Tery_0900"	"gene906"	"CDS"	1420682	1420915	"-"	"CP000393.1"	"conserved hypothetical protein"	"KEGG: ana:asl2400 unknown protein"	"NCBI_GP:ABG50301.1"
"Tery_0901"	73	145	127	72	118	147	70	"    20.02"	"    22.31"	"    23.27"	"    23.72"	"    21.43"	"    26.33"	"    19.73"	" 4.39"	" 4.54"	" 4.60"	" 4.63"	" 4.49"	" 4.77"	" 4.37"	"Tery_0901"	"gene907"	"CDS"	1421097	1421984	"+"	"CP000393.1"	"GCN5-related N-acetyltransferase"	"PFAM: GCN5-related N-acetyltransferase~KEGG: syn:sll1552 hypothetical protein"	"InterPro:IPR000182,NCBI_GP:ABG50302.1"
"Tery_0902"	29	40	49	20	59	53	59	"     7.95"	"     6.15"	"     8.98"	"     6.59"	"    10.72"	"     9.49"	"    16.63"	" 3.16"	" 2.84"	" 3.32"	" 2.92"	" 3.55"	" 3.39"	" 4.14"	"Tery_0902"	"gene908"	"CDS"	1422258	1423010	"+"	"CP000393.1"	"protein of unknown function DUF1568"	"PFAM: protein of unknown function DUF1568~KEGG: ana:all4950 unknown protein"	"InterPro:IPR011462,NCBI_GP:ABG50303.1"
"Tery_0904"	57	65	67	52	57	98	41	"    15.63"	"    10.00"	"    12.28"	"    17.13"	"    10.35"	"    17.56"	"    11.56"	" 4.06"	" 3.46"	" 3.73"	" 4.18"	" 3.50"	" 4.21"	" 3.65"	"Tery_0904"	"gene910"	"CDS"	1424443	1429596	"-"	"CP000393.1"	"ABC transporter related"	"PFAM: ABC transporter%2C transmembrane region ABC transporter related peptidase C39%2C bacteriocin processing~SMART: ATPase~KEGG: ava:Ava_1129 ABC transporter%2C transmembrane region"	"InterPro:IPR001140,InterPro:IPR001687,InterPro:IPR003439,InterPro:IPR003593,InterPro:IPR005074,InterPro:IPR011527,NCBI_GP:ABG50304.1"
"Tery_0905"	282	360	449	216	489	286	334	"    77.34"	"    55.38"	"    82.27"	"    71.16"	"    88.82"	"    51.23"	"    94.15"	" 6.29"	" 5.82"	" 6.38"	" 6.17"	" 6.49"	" 5.71"	" 6.57"	"Tery_0905"	"gene911"	"CDS"	1430592	1431749	"+"	"CP000393.1"	"cobalamin biosynthesis protein CbiD"	"TIGRFAM: cobalamin biosynthesis protein CbiD~PFAM: cobalamin (vitamin B12) biosynthesis CbiD protein~KEGG: ana:all2847 cobalamin biosynthesis protein D"	"InterPro:IPR002748,NCBI_GP:ABG50305.1"
"Tery_0907"	139	239	285	123	167	345	269	"    38.12"	"    36.77"	"    52.22"	"    40.52"	"    30.33"	"    61.80"	"    75.83"	" 5.29"	" 5.24"	" 5.73"	" 5.38"	" 4.97"	" 5.97"	" 6.26"	"Tery_0907"	"gene913"	"CDS"	1432961	1434688	"+"	"CP000393.1"	"GMP synthase (glutamine-hydrolyzing)"	"TIGRFAM: GMP synthase%2C large subunit  GMP synthase%2C small subunit~PFAM: glutamine amidotransferase class-I  GMP synthase-like~KEGG: ana:all2846 GMP synthase (glutamine-hydrolyzing)"	"InterPro:IPR000991,InterPro:IPR001317,InterPro:IPR001674,InterPro:IPR004739,InterPro:IPR006220,InterPro:IPR011702,InterPro:IPR012998,NCBI_GP:ABG50306.1"
"Tery_0908"	15	15	16	4	13	11	8	"     4.11"	"     2.31"	"     2.93"	"     1.32"	"     2.36"	"     1.97"	"     2.26"	" 2.35"	" 1.73"	" 1.98"	" 1.21"	" 1.75"	" 1.57"	" 1.70"	"Tery_0908"	"gene914"	"CDS"	1435221	1435445	"+"	"CP000393.1"	"conserved hypothetical protein"	"KEGG: ava:Ava_2120 hypothetical protein"	"NCBI_GP:ABG50307.1"
"Tery_0909"	45	79	76	42	73	83	61	"    12.34"	"    12.15"	"    13.93"	"    13.84"	"    13.26"	"    14.87"	"    17.20"	" 3.74"	" 3.72"	" 3.90"	" 3.89"	" 3.83"	" 3.99"	" 4.19"	"Tery_0909"	"gene915"	"CDS"	1435656	1437428	"+"	"CP000393.1"	"gamma-glutamyltransferase 1. Threonine peptidase. MEROPS family T03"	"KEGG: ana:alr2051 gamma-glutamyltranspeptidase~TIGRFAM: gamma-glutamyltransferase~PFAM: gamma-glutamyltranspeptidase"	"InterPro:IPR000101,NCBI_GP:ABG50308.1"
"Tery_0910"	84	148	141	64	129	141	90	"    23.04"	"    22.77"	"    25.84"	"    21.09"	"    23.43"	"    25.26"	"    25.37"	" 4.59"	" 4.57"	" 4.75"	" 4.47"	" 4.61"	" 4.71"	" 4.72"	"Tery_0910"	"gene916"	"CDS"	1439019	1441514	"-"	"CP000393.1"	"phosphoenolpyruvate synthase"	"PFAM: PEP-utilizing enzyme PEP-utilising enzyme%2C mobile region~KEGG: ava:Ava_3388 PEP-utilizing enzyme"	"InterPro:IPR000121,InterPro:IPR008279,NCBI_GP:ABG50309.1"
"Tery_0911"	17	23	26	18	33	23	18	"     4.66"	"     3.54"	"     4.76"	"     5.93"	"     5.99"	"     4.12"	"     5.07"	" 2.50"	" 2.18"	" 2.53"	" 2.79"	" 2.81"	" 2.36"	" 2.60"	"Tery_0911"	"gene917"	"CDS"	1441709	1442476	"+"	"CP000393.1"	"conserved hypothetical protein"	"KEGG: ava:Ava_0976 hypothetical protein"	"NCBI_GP:ABG50310.1"
"Tery_0912"	265	404	420	243	518	279	254	"    72.68"	"    62.15"	"    76.96"	"    80.06"	"    94.08"	"    49.98"	"    71.60"	" 6.20"	" 5.98"	" 6.28"	" 6.34"	" 6.57"	" 5.67"	" 6.18"	"Tery_0912"	"gene918"	"CDS"	1443313	1444083	"+"	"CP000393.1"	"protein of unknown function DUF1350"	"PFAM: protein of unknown function DUF1350~KEGG: ava:Ava_3724 protein of unknown function DUF1350"	"InterPro:IPR010765,NCBI_GP:ABG50311.1"
"Tery_0913"	300	363	454	139	272	270	284	"    82.28"	"    55.84"	"    83.19"	"    45.80"	"    49.40"	"    48.37"	"    80.06"	" 6.38"	" 5.83"	" 6.40"	" 5.55"	" 5.66"	" 5.63"	" 6.34"	"Tery_0913"	"gene919"	"CDS"	1446531	1447538	"-"	"CP000393.1"	"oxidoreductase-like"	"PFAM: oxidoreductase-like~KEGG: ava:Ava_0755 homoserine dehydrogenase%2C NAD-binding"	"InterPro:IPR000683,NCBI_GP:ABG50312.1"
