""	"baseMean"	"baseMean_LFe"	"baseMean_HFe"	"baseMean_MFe"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"HFe_d5_rep1_RAW"	"HFe_d5_rep2_RAW"	"HFe_d5_rep3_RAW"	"LFe_d5_rep1_RAW"	"LFe_d5_rep2_RAW"	"LFe_d5_rep3_RAW"	"LFe_d7_rep1_RAW"	"LFe_d7_rep2_RAW"	"LFe_d7_rep3_RAW"	"MFe_d5_rep1_RAW"	"MFe_d5_rep2_RAW"	"MFe_d5_rep3_RAW"	"HFe_d5_rep1_CPM"	"HFe_d5_rep2_CPM"	"HFe_d5_rep3_CPM"	"LFe_d5_rep1_CPM"	"LFe_d5_rep2_CPM"	"LFe_d5_rep3_CPM"	"LFe_d7_rep1_CPM"	"LFe_d7_rep2_CPM"	"LFe_d7_rep3_CPM"	"MFe_d5_rep1_CPM"	"MFe_d5_rep2_CPM"	"MFe_d5_rep3_CPM"	"HFe_d5_rep1_logCPM"	"HFe_d5_rep2_logCPM"	"HFe_d5_rep3_logCPM"	"LFe_d5_rep1_logCPM"	"LFe_d5_rep2_logCPM"	"LFe_d5_rep3_logCPM"	"LFe_d7_rep1_logCPM"	"LFe_d7_rep2_logCPM"	"LFe_d7_rep3_logCPM"	"MFe_d5_rep1_logCPM"	"MFe_d5_rep2_logCPM"	"MFe_d5_rep3_logCPM"	"locus_tag"	"geneID"	"feature"	"start"	"end"	"strand"	"seqname"	"product"	"note"	"dbxref"
"Tery_3808"	78.1223680047286	67.4494781535984	98.3238590137801	79.2666566979372	0.534808838351301	0.187539972950922	2.85170585201725	0.00434853198099511	0.0366260159847026	72	130	111	33	91	75	81	93	56	118	84	43	"    19.95"	"    20.34"	"    20.63"	"    11.06"	"    15.52"	"    13.82"	"    15.43"	"    13.37"	"    14.63"	"    21.48"	"    15.45"	"    12.27"	" 4.39"	" 4.42"	" 4.43"	" 3.59"	" 4.05"	" 3.89"	" 4.04"	" 3.85"	" 3.97"	" 4.49"	" 4.04"	" 3.73"	"Tery_3808"	"gene3845"	"CDS"	5855340	5856146	"+"	"CP000393.1"	"conserved hypothetical protein"	"KEGG: ava:Ava_3209 hypothetical protein"	"NCBI_GP:ABG52853.1"
"Tery_1654"	16.1282659654311	21.0793511834189	8.27881310230035	14.0755483925862	-1.3007887918055	0.456483837226196	-2.84958345887926	0.00437765188942454	0.0367393749383855	4	15	9	16	49	20	15	23	10	20	20	5	"     1.11"	"     2.35"	"     1.67"	"     5.36"	"     8.36"	"     3.69"	"     2.86"	"     3.31"	"     2.61"	"     3.64"	"     3.68"	"     1.43"	" 1.08"	" 1.74"	" 1.42"	" 2.67"	" 3.23"	" 2.23"	" 1.95"	" 2.11"	" 1.85"	" 2.21"	" 2.23"	" 1.28"	"Tery_1654"	"gene1664"	"CDS"	2517954	2520014	"-"	"CP000393.1"	"Dynamin"	"PFAM: Dynamin~KEGG: mtc:MT0357 hypothetical protein"	"InterPro:IPR001401,NCBI_GP:ABG50927.1"
"Tery_2324"	106189.578627488	123357.403312653	69368.0833484673	108675.424536178	-0.830494739645274	0.291651673306507	-2.84755691688585	0.00440562153890365	0.0368970803883181	43656	113822	70321	80776	233596	110718	94003	212395	66778	88766	183517	61444	" 12096.08"	" 17810.14"	" 13067.76"	" 27065.40"	" 39840.25"	" 20408.04"	" 17904.33"	" 30543.97"	" 17441.08"	" 16160.60"	" 33747.35"	" 17533.14"	"13.56"	"14.12"	"13.67"	"14.72"	"15.28"	"14.32"	"14.13"	"14.90"	"14.09"	"13.98"	"15.04"	"14.10"	"Tery_2324"	"gene2344"	"CDS"	3598479	3598706	"+"	"CP000393.1"	"gas vesicle protein GVPa"	"PFAM: gas vesicle protein GVPa~KEGG: cyb:CYB_1833 gas vesicle protein A"	"InterPro:IPR000638,NCBI_GP:ABG51546.1"
"Tery_2169"	168.973488047073	152.703876498247	209.820241795749	160.665957396048	0.457731169765388	0.161171389990424	2.84002743782618	0.00451096536670909	0.0377007916302921	155	282	231	109	202	158	166	242	89	172	215	101	"    42.95"	"    44.13"	"    42.93"	"    36.52"	"    34.45"	"    29.12"	"    31.62"	"    34.80"	"    23.25"	"    31.31"	"    39.54"	"    28.82"	" 5.46"	" 5.50"	" 5.46"	" 5.23"	" 5.15"	" 4.91"	" 5.03"	" 5.16"	" 4.60"	" 5.01"	" 5.34"	" 4.90"	"Tery_2169"	"gene2188"	"CDS"	3391278	3392735	"+"	"CP000393.1"	"methyltransferase FkbM family"	"TIGRFAM: methyltransferase FkbM family~KEGG: tel:tll0891 hypothetical protein"	"InterPro:IPR006342,NCBI_GP:ABG51402.1"
"Tery_0829"	132.237421846944	139.625567165048	102.457831821192	147.240721236489	-0.446332679106325	0.157382473519171	-2.83597448385482	0.00456860958884403	0.0381033413841349	75	147	106	86	182	127	160	225	105	160	183	100	"    20.78"	"    23.00"	"    19.70"	"    28.82"	"    31.04"	"    23.41"	"    30.47"	"    32.36"	"    27.42"	"    29.13"	"    33.65"	"    28.54"	" 4.44"	" 4.59"	" 4.37"	" 4.90"	" 5.00"	" 4.61"	" 4.98"	" 5.06"	" 4.83"	" 4.91"	" 5.11"	" 4.88"	"Tery_0829"	"gene835"	"CDS"	1317053	1317484	"+"	"CP000393.1"	"conserved hypothetical protein"	"KEGG: ana:all1292 hypothetical protein"	"NCBI_GP:ABG50243.1"
"Tery_3811"	564.803565187693	659.89890387422	472.868737855726	466.547715146605	-0.478753565937399	0.16910573663428	-2.83109003553667	0.00463896605725609	0.0386100280541811	320	612	584	391	625	683	800	988	621	612	405	362	"    88.66"	"    95.76"	"   108.52"	"   131.01"	"   106.59"	"   125.89"	"   152.37"	"   142.08"	"   162.19"	"   111.42"	"    74.48"	"   103.30"	" 6.49"	" 6.60"	" 6.78"	" 7.04"	" 6.75"	" 6.99"	" 7.26"	" 7.16"	" 7.35"	" 6.81"	" 6.24"	" 6.70"	"Tery_3811"	"gene3848"	"CDS"	5860953	5861303	"+"	"CP000393.1"	"ATP-dependent Clp protease adaptor protein ClpS"	"PFAM: ATP-dependent Clp protease adaptor protein ClpS~KEGG: ava:Ava_2843 ATP-dependent Clp protease adaptor protein ClpS"	"InterPro:IPR003769,NCBI_GP:ABG52856.1"
"Tery_1343"	543.870737648666	588.654235894732	474.50905310337	523.665425701833	-0.30324187075604	0.1071404197863	-2.83032184642248	0.00465012004080332	0.0386228978595648	317	663	551	397	695	692	576	820	477	604	578	380	"    87.83"	"   103.74"	"   102.39"	"   133.02"	"   118.53"	"   127.55"	"   109.71"	"   117.92"	"   124.58"	"   109.96"	"   106.29"	"   108.43"	" 6.47"	" 6.71"	" 6.69"	" 7.07"	" 6.90"	" 7.01"	" 6.79"	" 6.89"	" 6.97"	" 6.79"	" 6.75"	" 6.77"	"Tery_1343"	"gene1350"	"CDS"	2048695	2049441	"-"	"CP000393.1"	"Thioesterase"	"PFAM: Thioesterase~KEGG: ava:Ava_4730 thioesterase"	"InterPro:IPR001031,NCBI_GP:ABG50658.1"
"Tery_4392"	304.403566559166	248.8264802203	369.405344911648	350.555960884416	0.56805489475527	0.200769604212165	2.82938693326791	0.0046637275884236	0.0386560513514699	341	478	321	184	359	225	236	380	173	350	501	216	"    94.48"	"    74.79"	"    59.65"	"    61.65"	"    61.23"	"    41.47"	"    44.95"	"    54.65"	"    45.18"	"    63.72"	"    92.13"	"    61.64"	" 6.58"	" 6.24"	" 5.92"	" 5.97"	" 5.96"	" 5.41"	" 5.52"	" 5.80"	" 5.53"	" 6.02"	" 6.54"	" 5.97"	"Tery_4392"	"gene4435"	"CDS"	6765304	6766785	"-"	"CP000393.1"	"alpha amylase%2C catalytic region"	"PFAM: alpha amylase%2C catalytic region~SMART: Alpha amylase%2C catalytic subdomain~KEGG: ava:Ava_2017 alpha amylase%2C catalytic region"	"InterPro:IPR006047,InterPro:IPR006589,NCBI_GP:ABG53380.1"
"Tery_1699"	248.123700867053	193.409368727946	282.261714653506	323.414351358813	0.539486076535843	0.191029315340573	2.82410097933938	0.00474134443261223	0.0392185280228419	223	382	287	116	289	239	173	306	119	282	456	229	"    61.79"	"    59.77"	"    53.33"	"    38.87"	"    49.29"	"    44.05"	"    32.95"	"    44.01"	"    31.08"	"    51.34"	"    83.85"	"    65.35"	" 5.97"	" 5.93"	" 5.76"	" 5.32"	" 5.65"	" 5.49"	" 5.09"	" 5.49"	" 5.00"	" 5.71"	" 6.41"	" 6.05"	"Tery_1699"	"gene1709"	"CDS"	2580918	2581874	"-"	"CP000393.1"	"Thioredoxin-disulfide reductase"	"PFAM: glucose-inhibited division protein A HI0933-like protein FAD-dependent pyridine nucleotide-disulphide oxidoreductase~KEGG: pmt:PMT1551 putative thioredoxin reductase"	"InterPro:IPR000103,InterPro:IPR000759,InterPro:IPR001100,InterPro:IPR002218,InterPro:IPR004792,InterPro:IPR013027,NCBI_GP:ABG50964.1"
"Tery_1012"	514.780335215671	560.901986797678	431.12916992286	506.188197344468	-0.382338471640585	0.135730389662621	-2.81689658882543	0.00484901356181129	0.0399447428657405	369	510	458	404	570	638	661	816	397	607	541	364	"   102.24"	"    79.80"	"    85.11"	"   135.37"	"    97.21"	"   117.60"	"   125.90"	"   117.35"	"   103.69"	"   110.51"	"    99.49"	"   103.87"	" 6.69"	" 6.34"	" 6.43"	" 7.09"	" 6.62"	" 6.89"	" 6.99"	" 6.89"	" 6.71"	" 6.80"	" 6.65"	" 6.71"	"Tery_1012"	"gene1018"	"CDS"	1579082	1580158	"+"	"CP000393.1"	"hypothetical protein"	"KEGG: ava:Ava_1845 hypothetical protein"	"NCBI_GP:ABG50389.1"
"Tery_2973"	36.5625985060771	45.3717937549039	24.1419803532086	31.3648261612919	-0.875431339850583	0.310773303330989	-2.81694511873243	0.00484828094512573	0.0399447428657405	8	41	34	21	61	42	67	74	30	23	41	27	"     2.22"	"     6.42"	"     6.32"	"     7.04"	"    10.40"	"     7.74"	"    12.76"	"    10.64"	"     7.84"	"     4.19"	"     7.54"	"     7.70"	" 1.69"	" 2.89"	" 2.87"	" 3.01"	" 3.51"	" 3.13"	" 3.78"	" 3.54"	" 3.14"	" 2.37"	" 3.09"	" 3.12"	"Tery_2973"	"gene2999"	"CDS"	4624227	4625204	"-"	"CP000393.1"	"protein of unknown function DUF6%2C transmembrane"	"PFAM: protein of unknown function DUF6%2C transmembrane  Protein of unknown function DUF250~KEGG: bmb:BruAb2_0495 hypothetical membrane protein"	"InterPro:IPR000620,InterPro:IPR004853,NCBI_GP:ABG52131.1"
"Tery_1814"	461.479920142684	434.526761488162	550.967957892061	425.898199702351	0.335992462374695	0.119598197569994	2.80934386304658	0.00496425924030249	0.0406442406232506	437	712	586	245	494	476	491	751	323	507	453	310	"   121.08"	"   111.41"	"   108.90"	"    82.09"	"    84.25"	"    87.74"	"    93.52"	"   108.00"	"    84.36"	"    92.30"	"    83.30"	"    88.46"	" 6.93"	" 6.81"	" 6.78"	" 6.38"	" 6.41"	" 6.47"	" 6.56"	" 6.77"	" 6.42"	" 6.54"	" 6.40"	" 6.48"	"Tery_1814"	"gene1825"	"CDS"	2767705	2769240	"-"	"CP000393.1"	"hypothetical protein"	"KEGG: ana:alr0760 hypothetical protein"	"NCBI_GP:ABG51071.1"
"Tery_2537"	1801.31521770287	1432.53863304776	2479.30870179678	1860.87490291919	0.79158478748487	0.281752164651354	2.80950738555777	0.00496173807012532	0.0406442406232506	1252	3002	3869	649	1565	1733	1526	1989	1529	1704	1366	2067	"   346.90"	"   469.73"	"   718.98"	"   217.46"	"   266.91"	"   319.43"	"   290.65"	"   286.03"	"   399.34"	"   310.23"	"   251.20"	"   589.82"	" 8.44"	" 8.88"	" 9.49"	" 7.77"	" 8.07"	" 8.32"	" 8.19"	" 8.17"	" 8.65"	" 8.28"	" 7.98"	" 9.21"	"Tery_2537"	"gene2558"	"CDS"	3914905	3915333	"+"	"CP000393.1"	"RNA-binding protein (contains KH domain)-like"	"KEGG: ana:alr1954 hypothetical protein"	"NCBI_GP:ABG51739.1"
"Tery_3852"	2765.66351106774	2438.11027313741	3295.11470978434	2891.31878821182	0.43545947619883	0.154977480839492	2.80982420052259	0.00495685675030568	0.0406442406232506	2096	5116	3552	1556	3395	2846	2277	2936	2098	2764	3513	2253	"   580.75"	"   800.52"	"   660.07"	"   521.36"	"   579.02"	"   524.59"	"   433.69"	"   422.22"	"   547.96"	"   503.21"	"   646.01"	"   642.90"	" 9.18"	" 9.65"	" 9.37"	" 9.03"	" 9.18"	" 9.04"	" 8.76"	" 8.73"	" 9.10"	" 8.98"	" 9.34"	" 9.33"	"Tery_3852"	"gene3889"	"CDS"	5951160	5951471	"-"	"CP000393.1"	"microcompartments protein"	"PFAM: microcompartments protein~KEGG: ava:Ava_4472 microcompartments protein"	"InterPro:IPR000249,NCBI_GP:ABG52894.1"
"Tery_0043"	185.320658404203	162.697333365626	214.667348309265	201.220618576295	0.407720652182941	0.145243677273702	2.80714906036576	0.00499821075135921	0.0408390390659838	165	255	255	111	183	186	191	183	141	225	226	148	"    45.72"	"    39.90"	"    47.39"	"    37.19"	"    31.21"	"    34.28"	"    36.38"	"    26.32"	"    36.83"	"    40.96"	"    41.56"	"    42.23"	" 5.55"	" 5.35"	" 5.60"	" 5.26"	" 5.01"	" 5.14"	" 5.22"	" 4.77"	" 5.24"	" 5.39"	" 5.41"	" 5.43"	"Tery_0043"	"gene42"	"CDS"	66565	67806	"-"	"CP000393.1"	"glutamate N-acetyltransferase / N-acetylglutamate synthase"	"KEGG: ana:alr2073 glutamate N-acetyltransferase~TIGRFAM: arginine biosynthesis bifunctional protein ArgJ~PFAM: arginine biosynthesis protein ArgJ"	"InterPro:IPR002813,NCBI_GP:ABG49560.1"
"Tery_1634"	3317.86631895459	2375.35631586807	4339.16567795199	4181.58696613023	0.869239575886676	0.31009910823403	2.80310246887478	0.00506135856678065	0.0412651332608836	2063	6827	5638	1375	4839	2918	1651	3468	1197	3114	6028	3212	"   571.61"	"  1068.25"	"  1047.71"	"   460.72"	"   825.30"	"   537.86"	"   314.46"	"   498.72"	"   312.63"	"   566.93"	"  1108.50"	"   916.55"	" 9.16"	"10.06"	"10.03"	" 8.85"	" 9.69"	" 9.07"	" 8.30"	" 8.96"	" 8.29"	" 9.15"	"10.12"	" 9.84"	"Tery_1634"	"gene1643"	"CDS"	2495162	2495653	"-"	"CP000393.1"	"photosystem I reaction center protein PsaF%2C subunit III"	"PFAM: photosystem I reaction center protein PsaF%2C subunit III~KEGG: tel:tlr2411 plastocyanin docking protein"	"InterPro:IPR003666,NCBI_GP:ABG50910.1"
"Tery_4372"	344.795659453306	404.455651250321	269.756138334766	300.515196977816	-0.582518707756777	0.207857129389974	-2.80249568281045	0.00507088951016828	0.0412651332608836	193	376	295	224	365	469	527	532	391	475	277	172	"    53.48"	"    58.83"	"    54.82"	"    75.06"	"    62.25"	"    86.45"	"   100.38"	"    76.51"	"   102.12"	"    86.48"	"    50.94"	"    49.08"	" 5.77"	" 5.90"	" 5.80"	" 6.25"	" 5.98"	" 6.45"	" 6.66"	" 6.28"	" 6.69"	" 6.45"	" 5.70"	" 5.65"	"Tery_4372"	"gene4415"	"CDS"	6740260	6740658	"-"	"CP000393.1"	"conserved hypothetical protein"	"KEGG: ava:Ava_4935 hypothetical protein"	"NCBI_GP:ABG53364.1"
"Tery_2815"	59.5925139819056	50.0987937531495	73.6692242388257	64.5032441824977	0.527588893538532	0.188419216737329	2.80008006972044	0.00510899322694799	0.0414816897246634	54	88	91	24	72	61	57	78	33	74	76	44	"    14.96"	"    13.77"	"    16.91"	"     8.04"	"    12.28"	"    11.24"	"    10.86"	"    11.22"	"     8.62"	"    13.47"	"    13.98"	"    12.56"	" 4.00"	" 3.88"	" 4.16"	" 3.18"	" 3.73"	" 3.61"	" 3.57"	" 3.61"	" 3.27"	" 3.86"	" 3.90"	" 3.76"	"Tery_2815"	"gene2838"	"CDS"	4375465	4376610	"-"	"CP000393.1"	"spermidine/putrescine ABC transporter ATPase subunit"	"KEGG: mlo:mll2890 ABC transporter%2C ATP-binding component~TIGRFAM: spermidine/putrescine ABC transporter ATPase subunit~PFAM: ABC transporter related Transport-associated OB~SMART: ATPase"	"InterPro:IPR001687,InterPro:IPR003439,InterPro:IPR003593,InterPro:IPR005893,InterPro:IPR013611,NCBI_GP:ABG51991.1"
"Tery_3650"	15098.8238473404	9917.62496258113	20046.2686051757	20513.7768590236	1.01526065224069	0.362657500479682	2.79950270130307	0.00511813883169976	0.0414816897246634	9095	36148	22816	5932	22381	11162	6641	14368	4297	13659	33776	14100	"  2520.02"	"  5656.21"	"  4239.90"	"  1987.62"	"  3817.12"	"  2057.43"	"  1264.88"	"  2066.22"	"  1122.29"	"  2486.74"	"  6211.14"	"  4023.46"	"11.30"	"12.47"	"12.05"	"10.96"	"11.90"	"11.01"	"10.31"	"11.01"	"10.13"	"11.28"	"12.60"	"11.97"	"Tery_3650"	"gene3682"	"CDS"	5609420	5609905	"-"	"CP000393.1"	"Phycobilisome protein"	"PFAM: Phycobilisome protein~KEGG: tel:tll0957 allophycocyanin alpha subunit"	"InterPro:IPR001659,NCBI_GP:ABG52714.1"
"Tery_2631"	57.9585509731568	67.2345118788844	38.2325724777382	59.1326076571201	-0.822790895674172	0.294375862307167	-2.79503519488846	0.00518940653258104	0.0419746765814402	39	42	34	73	77	73	63	88	30	64	74	40	"    10.81"	"     6.57"	"     6.32"	"    24.46"	"    13.13"	"    13.46"	"    12.00"	"    12.66"	"     7.84"	"    11.65"	"    13.61"	"    11.41"	" 3.56"	" 2.92"	" 2.87"	" 4.67"	" 3.82"	" 3.85"	" 3.70"	" 3.77"	" 3.14"	" 3.66"	" 3.87"	" 3.63"	"Tery_2631"	"gene2652"	"CDS"	4072395	4074116	"-"	"CP000393.1"	"hypothetical protein"	NA	"NCBI_GP:ABG51826.1"
"Tery_3436"	446.177250633182	539.712740048269	370.195386821522	335.08813561467	-0.544235540370858	0.194847018002176	-2.79314277401351	0.00521986473134364	0.0421362574698824	276	489	411	288	483	581	681	857	505	512	326	192	"    76.47"	"    76.52"	"    76.38"	"    96.50"	"    82.38"	"   107.09"	"   129.71"	"   123.24"	"   131.90"	"    93.21"	"    59.95"	"    54.79"	" 6.28"	" 6.28"	" 6.27"	" 6.61"	" 6.38"	" 6.76"	" 7.03"	" 6.96"	" 7.05"	" 6.56"	" 5.93"	" 5.80"	"Tery_3436"	"gene3465"	"CDS"	5254572	5256005	"-"	"CP000393.1"	"CemA"	"PFAM: CemA~KEGG: ana:all1673 similar to heme binding protein CemA"	"InterPro:IPR004282,NCBI_GP:ABG52529.1"
"Tery_0524"	28.0385518380987	34.5382401349361	18.1529196473364	24.924807435186	-0.906522958894686	0.325287617439741	-2.7868351277239	0.00532255512697528	0.0428791014237287	12	34	14	12	45	31	49	40	40	32	26	17	"     3.32"	"     5.32"	"     2.60"	"     4.02"	"     7.67"	"     5.71"	"     9.33"	"     5.75"	"    10.45"	"     5.83"	"     4.78"	"     4.85"	" 2.11"	" 2.66"	" 1.85"	" 2.33"	" 3.12"	" 2.75"	" 3.37"	" 2.76"	" 3.52"	" 2.77"	" 2.53"	" 2.55"	"Tery_0524"	"gene528"	"CDS"	829610	830479	"+"	"CP000393.1"	"hypothetical protein"	NA	"NCBI_GP:ABG49976.1"
"Tery_0267"	619.060045494404	685.570133175938	502.65982233731	602.44009328843	-0.448538009848825	0.161024735312815	-2.78552241664904	0.00534415446912328	0.0429670019317512	341	732	551	353	803	686	801	1294	504	590	736	458	"    94.48"	"   114.54"	"   102.39"	"   118.28"	"   136.95"	"   126.45"	"   152.56"	"   186.09"	"   131.63"	"   107.41"	"   135.34"	"   130.69"	" 6.58"	" 6.85"	" 6.69"	" 6.90"	" 7.11"	" 6.99"	" 7.26"	" 7.55"	" 7.05"	" 6.76"	" 7.09"	" 7.04"	"Tery_0267"	"gene269"	"CDS"	411770	411994	"-"	"CP000393.1"	"protein translocase subunit secE/sec61 gamma"	"TIGRFAM: preprotein translocase%2C SecE subunit~PFAM: protein secE/sec61-gamma protein~KEGG: syf:Synpcc7942_0636 SecE subunit of protein translocation complex"	"InterPro:IPR001901,InterPro:IPR005807,NCBI_GP:ABG49750.1"
"Tery_3010"	816.258793629428	604.98755545097	1046.76644579587	1008.2936178199	0.790230538120683	0.283816345674827	2.78430242008	0.00536429922102215	0.0430428799770639	501	1375	1584	278	1148	765	455	949	376	842	1251	846	"   138.82"	"   215.15"	"   294.35"	"    93.15"	"   195.79"	"   141.01"	"    86.66"	"   136.47"	"    98.20"	"   153.29"	"   230.05"	"   241.41"	" 7.13"	" 7.76"	" 8.21"	" 6.56"	" 7.62"	" 7.15"	" 6.45"	" 7.10"	" 6.63"	" 7.27"	" 7.85"	" 7.92"	"Tery_3010"	"gene3036"	"CDS"	4657397	4657702	"-"	"CP000393.1"	"LSU ribosomal protein L23P"	"PFAM: Ribosomal protein L25/L23~KEGG: ava:Ava_0693 50S ribosomal protein L23"	"InterPro:IPR001014,InterPro:IPR013025,NCBI_GP:ABG52165.1"
"Tery_4699"	102.024052077678	109.021195274702	78.9966069057482	111.057210855561	-0.477479327313116	0.171536950252477	-2.7835362970505	0.00537698457483274	0.0430587210972662	67	98	81	73	133	112	107	178	83	126	146	67	"    18.56"	"    15.33"	"    15.05"	"    24.46"	"    22.68"	"    20.64"	"    20.38"	"    25.60"	"    21.68"	"    22.94"	"    26.85"	"    19.12"	" 4.29"	" 4.03"	" 4.00"	" 4.67"	" 4.57"	" 4.44"	" 4.42"	" 4.73"	" 4.50"	" 4.58"	" 4.80"	" 4.33"	"Tery_4699"	"gene4743"	"CDS"	7219548	7220354	"-"	"CP000393.1"	"peptidase M15B and M15C%2C D%2CD-carboxypeptidase VanY/endolysins"	"PFAM: peptidase M15B and M15C%2C D%2CD-carboxypeptidase VanY/endolysins~KEGG: ana:all3702 similar to D%2CD-carboxypeptidase"	"InterPro:IPR003709,NCBI_GP:ABG53662.1"
"Tery_0148"	145.806007118325	122.95079070685	175.790205446838	161.532241612764	0.514492918353782	0.184991543204277	2.78116993589081	0.00541633766359925	0.0432384911455808	99	232	243	59	169	153	120	193	97	164	207	113	"    27.43"	"    36.30"	"    45.16"	"    19.77"	"    28.82"	"    28.20"	"    22.86"	"    27.75"	"    25.33"	"    29.86"	"    38.07"	"    32.24"	" 4.83"	" 5.22"	" 5.53"	" 4.38"	" 4.90"	" 4.87"	" 4.58"	" 4.85"	" 4.72"	" 4.95"	" 5.29"	" 5.06"	"Tery_0148"	"gene147"	"CDS"	217777	218829	"+"	"CP000393.1"	"glycosyl transferase%2C family 2"	"PFAM: glycosyl transferase%2C family 2~KEGG: ava:Ava_1120 glycosyl transferase%2C family 2"	"InterPro:IPR001173,NCBI_GP:ABG49643.1"
"Tery_2261"	197.014270392621	169.885334297319	217.452155603701	230.834257372146	0.35721543788965	0.128453458215851	2.7808938961331	0.00542094515855043	0.0432384911455808	155	292	248	105	229	194	160	251	132	241	268	175	"    42.95"	"    45.69"	"    46.09"	"    35.18"	"    39.06"	"    35.76"	"    30.47"	"    36.10"	"    34.48"	"    43.88"	"    49.28"	"    49.94"	" 5.46"	" 5.55"	" 5.56"	" 5.18"	" 5.32"	" 5.20"	" 4.98"	" 5.21"	" 5.15"	" 5.49"	" 5.65"	" 5.67"	"Tery_2261"	"gene2281"	"CDS"	3518190	3519542	"+"	"CP000393.1"	"DegT/DnrJ/EryC1/StrS aminotransferase"	"PFAM: DegT/DnrJ/EryC1/StrS aminotransferase~KEGG: yps:YPTB1001 putative CDP-4-keto-6-deoxy-D-glucose-3-dehydratase"	"InterPro:IPR000653,NCBI_GP:ABG51489.1"
"Tery_2939"	2068.41748571217	1673.83876962248	2423.96381057365	2502.02859303006	0.533995248794991	0.192107311415372	2.77967165778711	0.00544138859904582	0.0433156082537905	1916	2834	2839	1228	2457	1700	1579	2626	985	2235	3578	1706	"   530.88"	"   443.45"	"   527.57"	"   411.46"	"   419.05"	"   313.35"	"   300.74"	"   377.64"	"   257.26"	"   406.90"	"   657.97"	"   486.81"	" 9.05"	" 8.80"	" 9.05"	" 8.69"	" 8.71"	" 8.30"	" 8.24"	" 8.56"	" 8.01"	" 8.67"	" 9.36"	" 8.93"	"Tery_2939"	"gene2961"	"CDS"	4566590	4569898	"-"	"CP000393.1"	"DNA-directed RNA polymerase%2C beta subunit"	"KEGG: ava:Ava_4207 DNA-directed RNA polymerase beta subunit~TIGRFAM: DNA-directed RNA polymerase%2C beta subunit~PFAM: RNA polymerase Rpb2%2C domain 6  RNA polymerase Rpb2%2C domain 7  RNA polymerase Rpb2%2C domain 2  RNA polymerase beta subunit  RNA polymerase Rpb2%2C domain 3"	"InterPro:IPR007120,InterPro:IPR007121,InterPro:IPR007641,InterPro:IPR007642,InterPro:IPR007644,InterPro:IPR007645,InterPro:IPR010243,NCBI_GP:ABG52103.1"
"Tery_0493"	1338.44834914863	1114.67320789872	1584.47268507786	1539.97429571923	0.507653998033458	0.182773190213117	2.77750800016963	0.00547774915827122	0.0435188767119572	1156	1817	2029	784	1512	1233	1015	1624	804	1217	1877	1357	"   320.30"	"   284.31"	"   377.05"	"   262.69"	"   257.87"	"   227.27"	"   193.32"	"   233.54"	"   209.99"	"   221.57"	"   345.17"	"   387.22"	" 8.33"	" 8.16"	" 8.56"	" 8.04"	" 8.02"	" 7.83"	" 7.60"	" 7.87"	" 7.72"	" 7.80"	" 8.44"	" 8.60"	"Tery_0493"	"gene497"	"CDS"	789431	789865	"+"	"CP000393.1"	"conserved hypothetical protein"	"KEGG: syn:sll0359 hypothetical protein"	"NCBI_GP:ABG49949.1"
"Tery_2989"	1282.97109769761	945.625580261891	1559.23116051518	1681.40206975148	0.721399382910668	0.259929487533462	2.77536569535151	0.00551396681271207	0.0437202102309715	958	2213	1906	606	1689	1315	659	1304	489	1426	2306	1257	"   265.44"	"   346.28"	"   354.19"	"   203.05"	"   288.06"	"   242.39"	"   125.52"	"   187.52"	"   127.72"	"   259.62"	"   424.06"	"   358.69"	" 8.06"	" 8.44"	" 8.47"	" 7.67"	" 8.18"	" 7.93"	" 6.98"	" 7.56"	" 7.01"	" 8.03"	" 8.73"	" 8.49"	"Tery_2989"	"gene3015"	"CDS"	4644681	4645076	"-"	"CP000393.1"	"SSU ribosomal protein S11P"	"PFAM: ribosomal protein S11~KEGG: ava:Ava_0714 30S ribosomal protein S11"	"InterPro:IPR001971,NCBI_GP:ABG52144.1"
"Tery_2114"	70.963848954454	82.8981473650016	55.339769470042	62.7193316177707	-0.590565226888418	0.212966856434761	-2.77303819371222	0.00555356022142484	0.0439474647443462	46	70	57	63	98	83	101	128	47	92	60	39	"    12.75"	"    10.95"	"    10.59"	"    21.11"	"    16.71"	"    15.30"	"    19.24"	"    18.41"	"    12.28"	"    16.75"	"    11.03"	"    11.13"	" 3.78"	" 3.58"	" 3.54"	" 4.47"	" 4.15"	" 4.03"	" 4.34"	" 4.28"	" 3.73"	" 4.15"	" 3.59"	" 3.60"	"Tery_2114"	"gene2132"	"CDS"	3302074	3303507	"+"	"CP000393.1"	"WD-repeat protein"	"KEGG: ana:alr7129 WD-repeat protein"	"InterPro:IPR000767,NCBI_GP:ABG51349.1"
